Location,Beds,Baths,Title,Added_Date,Price_thnds,Area_sqft
"DHA Phase 6 - Block K, DHA Phase 6",6,6,2 KANAL ULTRA LUXURY MODERN FULL BASEMENT BUNGALOW FOR SALE PHASE 6 DHA,Added: 1 hour ago,380000000.0,10890.0
"Thokar Niaz Baig, Lahore",4,4,1.75 Marla Triple Story House For Sale,Added: 3 hours ago,6700000.0,544.5
"Sabzazar Scheme, Lahore",5,6,5 Marla House  Available For Sale In Sabzazar Scheme,Added: 3 hours ago,23500000.0,1361.25
"Sabzazar Scheme, Lahore",5,5,House For Sale In Rs 35500000,Added: 3 hours ago,35500000.0,2722.5
"Allama Iqbal Town - Asif Block, Allama Iqbal Town",6,5,6-Beds VIP Double Story House for SALE,Added: 3 hours ago,40000000.0,2722.5
"Golf View Residencia - Phase 1, Golf View Residencia",3,4,Brand New 5 Marla House Available For Sale In Golf View Residencia Phase 1 Bahria Town Lahore,Added: 3 hours ago,20000000.0,1361.25
"Paragon City, Lahore",4,5,8 Marla House For Sale In Paragon City Lahore,Added: 31 minutes ago,45000000.0,2178.0
"Paragon City, Lahore",3,4,5 Marla House For Sale In Paragon City Lahore,Added: 31 minutes ago,25000000.0,1361.25
"Park View City, Lahore",4,5,3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Added: 32 minutes ago,17000000.0,1361.25
"Park View City, Lahore",4,5,3 Years Installment Plan Luxury 5 Marla Brand New House In Park View City Lahore,Added: 32 minutes ago,16500000.0,1361.25
"Park View City, Lahore",4,5,3 Years Installments Plan Modern Brand New House For Sale In Park View City,Added: 32 minutes ago,15000000.0,1361.25
"Park View City, Lahore",5,6,3 Years Installments Plan 10 Marla Brand New House For Sale In Park View City,Added: 32 minutes ago,30000000.0,2722.5
"Park View City, Lahore",3,4,3 Years Installment Plan Luxury 3.5 Marla Brand New House In Park View City Lahore,Added: 32 minutes ago,11500000.0,952.875
"Wapda Town Phase 1, Wapda Town",5,6,10 MARLA WELL MAINTAINED DOUBLE UNIT HOUSE FACING PARK,Added: 43 minutes ago,37000000.0,2722.5
"DHA Phase 7, DHA Defence",5,6,1 Kanal Top Quality Build Luxurious Ultra Modern Fully Furnished Villa For Sale | Prime Location,Added: 12 hours ago,71500000.0,5445.0
"Johar Town Phase 2, Johar Town",5,6,5 Marla Duplex House Spanish Style Luxury Style All Original Picture Direct Meeting A++ Construction Available For Sale in Johar Town phase 2,Added: 13 hours ago,35000000.0,1361.25
,,,,,23000000.0,
"Bahria Town - Sector C, Bahria Town",5,7,2 Kanal Luxury Beautiful House Available For Sale In Sector C Bahria Town Lahore,Added: 16 hours ago,150000000.0,10890.0
"Lake City - Sector M7 - Block B, Lake City - Sector M-7",3,3,Gas Installed 5 Marla Eden House Available For Sale In Lake City Sector M-7 Block B,Added: 17 hours ago,20400000.0,1361.25
,,,,,25200000.0,
"DHA Phase 6, DHA Defence",5,6,1 Kanal Fully Furnished Spanish Style Bungalow For Sale | 12kW Solar | Near Big Park | Near Raya | Prime Location DHA Phase 6,Added: 17 hours ago,116500000.0,5445.0
"Dream Gardens, Defence Road",5,7,8 Marla House Solid Construction Grey Structure For Sale In Phase 1 Dream Gardens Lahore,Added: 14 hours ago,20800000.0,2178.0
"Valencia Housing Society, Lahore",7,6,INVESTMENT OPPORTUNITY: 2 KANAL LUXURY HOUSE FOR SALE  Location: Prime 60 Feet Road |,Added: 14 hours ago,130000000.0,10890.0
"Wapda Town, Lahore",7,6,UNBEATABLE 2 KANAL DEAL 13 CRORE ONLY! Huge Space | 7 Master Beds | Prime Location,Added: 14 hours ago,130000000.0,10890.0
"DHA Phase 7 - Block Y, DHA Phase 7",5,7,SIMPLE+ELEGANT MODERN BUNGALOW SERVANT IN BASEMENT,Added: 14 hours ago,82500000.0,5445.0
"Model Town Link Road, Model Town",4,4,Location Link Road Government Employees Housing Society Phase 3 Near Nishter Park Toheed Masjid Brand New 5 Marla Double Storey House 4 Bed 2 Kitchen 2 Tv Lounge Car Porch,Added: 14 hours ago,21000000.0,1361.25
"DHA Phase 3, DHA Defence",4,5,FACING 1-KANAL OWNER BUILD 7-MARLA ELEGANT AND FULLY MAINTAINED SUPER HOT LOCATED BUNGALOW IS AVAILABLE IN THE BEST BLOCK OF PHASE 3 DHA LAHORE. ORIGINAL PICTURES ATTACHED,Added: 1 hour ago,41500000.0,1905.75
"DHA Phase 5, DHA Defence",2,3,"BEAUTY IN THE SKY, FEEL THE LUXURY THE VIEWS THE POETIC ARCHITECTURE FACING THE PHASE 5 RING ROAD, LAHORE*",Added: 2 hours ago,37500000.0,1606.275
"Samanabad, Lahore",5,6,5 Marla Brand New House For Sale,Added: 4 hours ago,32500000.0,1361.25
"Samanabad, Lahore",3,3,3 Marla Brand New House For Sale Street Size 20 Feets,Added: 4 hours ago,16000000.0,816.75
"Bahria Town - Ghaznavi Extension, Bahria Town - Sector F",3,4,Grey Structure 5 Marla House For Sale In Sector F Bahria Town Lahore,Added: 4 hours ago,13000000.0,1361.25
"Defence View Apartments, Shanghai Road",3,3,3 Bedroom Master Size Big Apartment In Defence View Apartment,Added: 4 hours ago,24000000.0,2259.675
"DHA Phase 7 - Block U, DHA Phase 7",5,6,1 Kanal With Basement Brand New Most Luxurious House For Sale,Added: 4 hours ago,110000000.0,5445.0
"Tariq Gardens, Lahore",5,6,10 Marla House For Sale In Tariq Gardens,Added: 43 minutes ago,42500000.0,2722.5
"Punjab University Society Phase 2, Punjab University Employees Society",5,6,7 MARLA CORNER HOUSE BRAND NEW OUTCLASS CONDITION BACK 5 MARLA EXTRA SPACE FREE FOR LAWN,Added: 43 minutes ago,27500000.0,1905.75
"NFC 1, Lahore",8,,2 KANAL OUTCLASS BANGLAW FOR SALE REASONABLE PRICE,Added: 43 minutes ago,110000000.0,10890.0
"Tariq Gardens, Lahore",4,4,OWNER BUILD SLIGHTLY USED FACING PARK HOUSE FOR SALE IDEAL LOCATION,Added: 43 minutes ago,27000000.0,1361.25
"OPF Housing Scheme - Block C, OPF Housing Scheme",5,6,OPF HOUSING SOCIETY LAHORE C BLOCK 10 Marla HOUSE FOR SALE,Added: 43 minutes ago,42500000.0,2722.5
"Wapda Town Phase 1, Wapda Town",3,4,INVESTOR RATE 5 MARLA OUTCLASS HOUSE. SLIGHTLY USE,Added: 43 minutes ago,26500000.0,1361.25
